"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\CylinderTag.cpp", "C++", 22, -1, 4, 25
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 123, 2, 9, 134
"f:\CylinderTag\CylinderTag\header\CylinderTag.h", "C++", 1, 0, 0, 1
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 17, 3, 4, 24
"Total", "-", 163, 4, 17, 184
