"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 97, 63, -5, 155
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 2, 2, 5, 9
"Total", "-", 99, 65, 0, 164
