"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\CylinderTag.cpp", "C++", 4, 0, 0, 4
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 18, -1, 5, 22
"f:\CylinderTag\CylinderTag\header\config.h", "C++", 4, 1, 1, 6
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 4, 0, 2, 6
"Total", "-", 30, 0, 8, 38
