"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 98, 8, 16, 122
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 2, 0, -1, 1
"Total", "-", 100, 8, 15, 123
