"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\CylinderTag.cpp", "C++", 41, -24, 11, 28
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 110, 6, 13, 129
"f:\CylinderTag\CylinderTag\header\CylinderTag.h", "C++", 1, 0, 0, 1
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 16, 1, 2, 19
"f:\CylinderTag\CylinderTag\main.cpp", "C++", 8, 1, 1, 10
"Total", "-", 176, -16, 27, 187
