"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 2, 8, 5, 15
"f:\CylinderTag\CylinderTag\header\config.h", "C++", -4, 4, 0, 0
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 0, 1, 0, 1
"f:\CylinderTag\CylinderTag\main.cpp", "C++", -1, 1, 0, 0
"Total", "-", -3, 14, 5, 16
