"filename", "language", "C++", "comment", "blank", "total"
"f:\CylinderTag\CylinderTag\corner_detector.cpp", "C++", 56, 0, 13, 69
"f:\CylinderTag\CylinderTag\header\corner_detector.h", "C++", 5, 0, 0, 5
"f:\CylinderTag\CylinderTag\main.cpp", "C++", 1, 0, 1, 2
"Total", "-", 62, 0, 14, 76
